"name","super_class","sys_package"
"m2m_sys_nlu_intent_entity","sys_metadata","b609eda8a920211076daa554cb57d946"
"sn_customercentral_cust_info_card","sys_metadata","7a9ab70373830010e37d71ef64f6a78b"
"sn_fedtables_benefits_continuation_retirement_indicator","","e83ff337531300102b2fddeeff7b1204"
"automation_pipeline_transformer_ppid_special_case","automation_pipeline_transformer","731ee5eca9a0211076daa554cb57d984"
"pa_text_phrases","sys_metadata","6b203d28a9e0211076daa554cb57d9a2"
"ts_c_41_6","",""
"ts_v4_48_3","","global"
"cmdb_ci_ip_firewall","cmdb_ci_netgear","9c79296ca920211076daa554cb57d956"
"sys_js_logpoint","","8f3f2d64a9e0211076daa554cb57d923"
"sn_risk_advanced_risk_appetite_status","","7443d9ba7373230055e9d8b0caf6a7b0"
"sys_aw_module","sys_metadata","684f6d64a9e0211076daa554cb57d9e7"
"sc_catalog","sys_metadata","cc6da5e8a9a0211076daa554cb57d90e"
"sc_multi_row_question_answer","","cc6da5e8a9a0211076daa554cb57d90e"
"sn_cmp_rb_resourceinterface","sys_metadata","80d50579eb203200979aa5115206fedd"
"sn_apm_trm_product_lifecycle_request","task","e46550186c610110f87743237f196f16"
"apm_bubble_chart","sys_metadata","65c1ca2cdbb2120091285411cf961963"
"cmdb_ci_storage_eff_template","cmdb_ci_vm_object","9c79296ca920211076daa554cb57d956"
"cmdb_ci_pcf_appl","cmdb_ci_pcf_component","06a71b1367e4130051c9027e2685ef1e"
"sn_sec_cmn_ci_enrichment_result","sn_sec_cmn_enrichment_data_base","f38c97005301120034c69816a11c081d"
"sn_ci_analytics_event","sys_metadata","c53ca02a73c310108564b17afef6a7c0"
"sys_cs_context_profile_promotion","sys_metadata","05d57524a964211076daa554cb57d9a6"
"discovery_classy_http","discovery_classy","8056bdadc30b3d10b2ce78f9d0013174"
"sys_nowmq_subject","sys_metadata","bed82d68a920211076daa554cb57d943"
"cmdb_ci_cloud_os_image","cmdb_ci_os_template","ae99d84b2320330006c0110d96bf65b3"
"db_image","sys_metadata","0fe7e524a920211076daa554cb57d909"
"x_snc_demohub_app_m2m_personas_narratives","","5c1cc3cbdbf87300f669f40b0c961935"
"question","sys_metadata","0bec2168a9a0211076daa554cb57d948"
"sp_ui_formatter","sys_metadata","b6de29e0a9e0211076daa554cb57d9c0"
"sn_coach_lrn_opportunity_m2m_courses","","90e634d0c42d05bb4ed4bcfbfe975716"
"ts_c_72_9","",""
"ts_c_54_df","",""
"sn_bia_score_timeframe_mapping","sys_metadata","d913c81313ea40103423f8fed144b044"
"sys_ux_screen","sys_metadata","ed08ed24a920211076daa554cb57d9c6"
"sn_doc_template_block_content","sys_metadata","6a9ea833b763330088d9bc78ee11a88q"
"cmdb_ci_kubernetes_cluster","cmdb_ci_kubernetes_component","06a71b1367e4130051c9027e2685ef1e"
"sn_ent_tactical_model","sn_ent_model","7e67d4ff091b4110f87739da6a8d8c7d"
"sn_fedtables_sex","","e83ff337531300102b2fddeeff7b1204"
"sn_risk_m2m_risk_definition_profile_type","sn_grc_m2m_content_profile_type","f6e4b296cbf33100829cf865734c9c75"
"sn_esg_m2m_goal_disclosure","","1b6502f1b38070102fd4ea5b86a8dc23"
"sn_bom_loan_account_model","cmdb_model","52139130737200103fcae6e24ff6a76f"
"cmdb_kvm_device","","9c79296ca920211076daa554cb57d956"
"cmdb_ci_web_service","cmdb_ci_appl","9c79296ca920211076daa554cb57d956"
"ts_v4_48_8","","global"
"sn_vul_m2m_pot_duplicate_item","","054cdcc2ff200200158bffffffffff94"
"cab_runtime_state","mtg_runtime_state","18351d53eb32120034d1eeea1206fe79"
"sn_docker_spoke_docker_webhook_registry","","dcb0e1e4db075300dd14596e5e9619ca"
"sys_email_draft_recipient","","7f4821a4a920211076daa554cb57d958"
"sys_email_draft","","7f4821a4a920211076daa554cb57d958"
"x_snc_presence_exc_presence_exchange_rule","","f01a3803db48bf0032e351735e9619f6"
"sn_hr_core_m2m_condition_criteria","sys_metadata","d4ac3fff5b311200a4656ede91f91af2"
"promin_model_def_version","","06572eae87126550efbf1f473cbb353a"
"sys_allowlist_jelly_global","","88786da4a920211076daa554cb57d917"
"cert_task","cert_follow_on_task","c37a4f9487126910efbf1f473cbb35ce"
"syslog_delegation0000","syslog0000","d48fad62975a6550da6cdc04a253afff"
"sn_apm_tpm_hardware_model_risk","","65c1ca2cdbb2120091285411cf961963"
"sn_vul_m2m_solution_supersedence","","054cdcc2ff200200158bffffffffff94"
"ts_c_6_4","",""
"sn_sec_cmn_security_tag_rule","","f38c97005301120034c69816a11c081d"
"sn_cmp_node_count","","80d50579eb203200979aa5115206fedd"
"cdc_queue_par0002","","35dc42fb875121104b1fa64d0ebb3564"
"nlq_query_log","","08e27528a924211076daa554cb57d93a"
"ts_c_23_5","",""
"awa_inbox_layout","sys_metadata","64e18310879e2910efbf1f473cbb351c"
"awa_agent_channel_availability","","64e18310879e2910efbf1f473cbb351c"
"open_nlu_predict_log0001","syslog0001","b3e57d24a964211076daa554cb57d9bb"
"cmdb_ci_cloud_directory","cmdb_ci_directory_server","9c79296ca920211076daa554cb57d956"
"m2m_sp_portal_search_source","sys_metadata","b6de29e0a9e0211076daa554cb57d9c0"
"sn_fedtables_nature_of_action","","e83ff337531300102b2fddeeff7b1204"
"universal_request_instrumentation","","957005a873370010888b6238edf6a7af"
"rm_story","rm_feature","03d1721587332550efbf1f473cbb35c0"
"sn_ent_transportation_model","sn_ent_model","7e67d4ff091b4110f87739da6a8d8c7d"
"sn_bom_deposit_account","sn_bom_financial_account","52139130737200103fcae6e24ff6a76f"
"cmdb_ci_ni_telco_equipment","cmdb_ci_netgear","ae99d84b2320330006c0110d96bf65b3"
"ts_c_62_0","",""
"sys_user_preference","","6837e920a920211076daa554cb57d99c"
"sys_analytics_data_points_queue0000","","a039ade8a920211076daa554cb57d9db"
"cmdb_ci_lb_alteon","cmdb_ci_lb","9c79296ca920211076daa554cb57d956"
"x_3cl_3clogic_port_access","","0feb8724dbf85f404c5b9c27db961923"
"wu_location_queue","awa_queue","1da803b9b3b10300f686a72256a8dcbc"
"sys_notification_property","sys_metadata","e84f6d64a9e0211076daa554cb57d9e8"
"sn_cda_tracking_profile","","d1a90625e7121300809a268b03f6a982"
"sn_cmp_rb_prov_resp_map","sys_metadata","80d50579eb203200979aa5115206fedd"
"sn_sec_cmn_m2m_user_breach_entry","","f38c97005301120034c69816a11c081d"
"cmdb_health_metric_pref","sys_metadata","9c79296ca920211076daa554cb57d956"
"cmdb_ci_app_server_hp_ucmdb","cmdb_ci_app_server","9c79296ca920211076daa554cb57d956"
"sn_agent_forecast_configuration","","440d1bab73621010dd6131ff2ef6a7f4"
"sn_diagram_builder_instance","sys_metadata","1cf7ad026abf3abab12e761ddaa6e9df"
"sc_ic_question_class","sys_metadata","f0bd216ca9a0211076daa554cb57d978"
"sc_ic_req_item_task_defn","","f0bd216ca9a0211076daa554cb57d978"
"cmdb_ci_directory_server","cmdb_ci_infra_service","9c79296ca920211076daa554cb57d956"
"cmdb_ci_endpoint_app_storage","cmdb_ci_endpoint","9c79296ca920211076daa554cb57d956"
"sys_hub_trigger_instance","","20d0392ca9e0211076daa554cb57d9f6"
"sys_flow_plan_context_binding","","20d0392ca9e0211076daa554cb57d9f6"
"on_call_escalation_response","","30d1f5a0a924211076daa554cb57d96b"
"sn_invst_pln_invst_funding_base_fund","sn_invst_pln_invst_funding_base","f220fdbd5fad201048b8ea552f466620"
"cmdb_ci_netapp_datacenter","cmdb_ci_logical_datacenter","9c79296ca920211076daa554cb57d956"
"sys_hub_flow_output","var_dictionary","e4d0392ca9e0211076daa554cb57d9f5"
"sys_cs_consumer_channel","sys_metadata","05d57524a964211076daa554cb57d9a6"
"ts_c_12_6","",""
"ts_c_27_2","",""
"sys_declarative_action_payload_definition","sys_metadata","3d082164a920211076daa554cb57d960"
"sn_fedtables_training_type_sub_code","","e83ff337531300102b2fddeeff7b1204"
"itfm_plan_template_column","","3c0be82c87d2e910efbf1f473cbb356c"
"sn_ais_admin_tools_ai_search_analytics_dashboard_daily_average_click_position","","3f115144c33310109f1ed23d2840dd4c"
"ts_c_37_4","",""
"pa_ext_elements","","6b203d28a9e0211076daa554cb57d9a2"
"expert","sys_metadata","653d29a8a9a0211076daa554cb57d941"
"expert_banner_step","sys_metadata","653d29a8a9a0211076daa554cb57d941"
"expert_panel_transition","sys_metadata","653d29a8a9a0211076daa554cb57d941"
"sn_itam_common_rma_order_line","","8bc357701b9e0010cf95dd33dd5ada6c"
"svc_recomputation_log0004","","global"
"cmdb_ci_appl_vignette_search","cmdb_ci_appl","9c79296ca920211076daa554cb57d956"
"project_change_request_baseline","baseline_core","48aaa4e487d2e910efbf1f473cbb350b"
